"","PROBEID","ENTREZID","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1747","TC0100008132.hg.1","51249","TMEM69",1.11573,5.343223,3.793041,0.001165562,0.003082367,-1.361277
"1748","TC1900011957.hg.1","2931","GSK3A",0.7333518,7.541662,3.792557,0.001166871,0.003084063,-1.362376
"1749","TC0900011393.hg.1","7185","TRAF1",0.8399176,6.438933,3.790476,0.001172514,0.003097208,-1.367099
"1750","TC1600011147.hg.1","64779","MTHFSD",0.8064725,4.886383,3.790055,0.001173657,0.003098454,-1.368052
"1751","TC1500009845.hg.1","79719","AAGAB",-0.9519998,5.569833,-3.789139,0.001176154,0.003103272,-1.370132
"1752","TC0500013297.hg.1","23600","AMACR",1.10501,4.61237,3.786092,0.001184489,0.003123482,-1.377044
"1753","TC1100007787.hg.1","923","CD6",1.054403,7.011131,3.783439,0.001191796,0.003140958,-1.383064
"1754","TC0600008095.hg.1","9533","POLR1C",0.6609051,5.452053,3.782869,0.001193373,0.003143321,-1.384358
"1755","TC0700008765.hg.1","1738","DLD",-1.01688,5.267209,-3.780918,0.001198782,0.003155767,-1.388783
"1756","TC1000011469.hg.1","64318","NOC3L",0.9710083,2.990912,3.779164,0.001203666,0.00316682,-1.392762
"1757","TC1600011355.hg.1","9284","NPIPA1",0.99385,6.398878,3.777894,0.001207214,0.003174348,-1.395642
"1758","TC0800008547.hg.1","93035","PKHD1L1",-1.039824,2.810799,-3.776443,0.00121128,0.003181358,-1.398933
"1759","TC0200008501.hg.1","150771","ITPRIPL1",0.8361914,5.335126,3.776305,0.001211669,0.003181358,-1.399247
"1760","TC0100016944.hg.1","127829","ARL8A",-0.6742936,7.504969,-3.775984,0.001212572,0.003181358,-1.399975
"1761","TC0800010823.hg.1","6921","ELOC",-0.8091562,5.744091,-3.775961,0.001212634,0.003181358,-1.400026
"1762","TC0200012320.hg.1","8491","MAP4K3",1.045445,4.119797,3.773643,0.001219168,0.003196683,-1.405284
"1763","TC1900011312.hg.1","81856","ZNF611",0.9933992,6.919243,3.773218,0.001220369,0.003197683,-1.406247
"1764","TC0400010580.hg.1","132789","GNPDA2",0.9018316,4.219633,3.773018,0.001220934,0.003197683,-1.4067
"1765","TC0900007129.hg.1","9833","MELK",-1.089458,2.767414,-3.772559,0.001222235,0.003198827,-1.407742
"1766","TC1900009128.hg.1","91304","TMEM259",0.6373571,6.979585,3.772052,0.00122367,0.003198827,-1.40889
"1767","TC0700011562.hg.1","83862","TMEM120A",-0.9980134,6.220593,-3.771933,0.00122401,0.003198827,-1.409162
"1768","TC0100015200.hg.1","57463","AMIGO1",0.8001741,4.973454,3.771887,0.00122414,0.003198827,-1.409266
"1769","TC0300011154.hg.1","25886","POC1A",-0.8097445,4.118354,-3.769684,0.001230405,0.00321338,-1.41426
"1770","TC0600009322.hg.1","3298","HSF2",0.8749822,5.1482,3.768768,0.00123302,0.00321839,-1.416337
"1771","TC1400008752.hg.1","27141","CIDEB",0.835419,7.293532,3.766541,0.0012394,0.003233216,-1.421386
"1772","TC1200007701.hg.1","283337","ZNF740",0.8201747,5.34938,3.765036,0.001243732,0.003242686,-1.4248
"1773","TC0100015750.hg.1","84072","HORMAD1",-0.8386392,4.618882,-3.761414,0.001254213,0.003268169,-1.433009
"1774","TC1000008221.hg.1","80195","TMEM254",0.9017143,4.550518,3.760768,0.001256092,0.00327122,-1.434473
"1775","TC0100018451.hg.1","2634","GBP2",-0.8233115,8.526649,-3.750001,0.001287824,0.003350145,-1.458873
"1776","TC1400007172.hg.1","6815","STYX",1.081503,7.280436,3.749919,0.001288067,0.003350145,-1.459058
"1777","TC0300007474.hg.1","25981","DNAH1",0.7046866,7.018176,3.749721,0.001288659,0.003350145,-1.459507
"1778","TC0200016360.hg.1","10494","STK25",0.7452161,6.7394,3.749507,0.001289298,0.003350145,-1.459992
"1779","TC0500011212.hg.1","6902","TBCA",-1.053721,4.988536,-3.748847,0.001291271,0.003353385,-1.461488
"1780","TC1200007053.hg.1","80763","SPX",-1.072693,3.619087,-3.74807,0.001293596,0.003357537,-1.463247
"1781","TC1600007312.hg.1","3566","IL4R",-0.9064325,8.252702,-3.747594,0.001295023,0.003359352,-1.464325
